sha,user,time,message
cc656195a7ff30c875066ea6149561cafdbb5131,priysha,1454890439.0,format email report fixes
13938f0f971736c979e01e1f9c1752f772418e0e,priysha,1454884355.0,Update README.md
ea9f7fc926c6c2ac917247680b188c0ff1ed015f,priysha,1454798372.0,minor changes
7891d862bf54ba6d1f90b5c4b5cc0e6023073265,shivamgulati1991,1454797865.0,basic email setup
c8c4a42720f4c4476ffcf145e1ce1ec7afb67f05,shivamgulati1991,1454797593.0,Merge branch 'master' of https://github.com/shivamgulati1991/CSC510-SE-group-i
64aa1f1eaa5cb5b86204279eb820e559007d4c55,shivamgulati1991,1454797546.0,Starting google script extraction script
fd049da1d88fd09f4ead39f137e730a0ce7c3c43,nishtha02,1454633714.0,Update README.md
8c0091d85a0bc779ac7cbd0af05761162be74da8,nishtha02,1454633688.0,Update README.md
7b812a5c73043d39314763fe15bb87cf16f5f9b7,shivamgulati1991,1454379150.0,Corrected references
c461171c9c5e52c95ed745e7d84604e4d6536951,shivamgulati1991,1454321932.0,Added project propasal report
90d55b2a8edc990051da2e1cbf89ba257da562c2,shivamgulati1991,1454321675.0,Added project propasal report
42d69fae40c4c267e28fc494f712981d077e1bc9,shivamgulati1991,1453606063.0,Update README.md
e084b84f768378a88a3b6d607b0fb4b954e28853,shivamgulati1991,1453606018.0,Create README.md
